TREE ID,NUMBER OF NODES,TOTAL STEPS
1,83,164
2,94,186
3,69,136
4,99,196
5,53,104
6,63,124
7,72,142
8,61,120
9,55,108
10,90,178
11,81,160
12,74,146
13,92,182
14,85,168
15,75,148
16,66,130
17,95,188
18,64,126
19,71,140
20,95,188
21,52,102
22,77,152
23,53,104
24,84,166
25,80,158
26,70,138
27,95,188
28,68,134
29,88,174
30,98,194
31,99,196
32,63,124
33,66,130
34,59,116
35,94,186
36,85,168
37,59,116
38,68,134
39,93,184
40,62,122
41,75,148
42,100,198
43,92,182
44,82,162
45,84,166
46,58,114
47,63,124
48,69,136
49,51,100
50,66,130
